,timestamp,gender,marital_status,region,bachelor_loc,masters_loc,mixed_sex,introversion_personal,introversion_public,household_chores,single_vs_mixed_working_env,comfort_with_other_gender,comfort_with_help_from_other_gender,project_with_other_gender,events_that_influnced_gender_views,with_or_aginst_mixed_sex_universities,opinion_mixed_sex_universites,introversion,introversion_mapped,exposure,household_chores_num,comfort_with_other_gender_num,comfort_with_help_from_other_gender_num,project_with_other_gender_num,level_of_comfort,Conservatism
71,2020-12-06 05:20:25,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,3: Agree,Mixed-sex work environment,2: Uncomfortable,3: Likely,3: Likely,n/a,Against mixed-sex universities,"1. I don’t think we should just because of natural human sexual drive. 2. But at the same time it would be great in terms of collaboration since different views are likely to be expressed. 3. I don’t think we should because it was kind of distracting to be honest. 

So in total I don’t think we should ",introvert/extrovert,2,0.66666664,3,2,3,3,2.6666666666666665,3.0
72,2020-12-06 05:36:41,Female,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,"I’m with the idea of having that, but with certain guidelines. I’m with this idea because whatever your job is, most probably you’ll have to deal with someone of the opposite-sex, so it’s better to be comfortable in how to communicate with each other at a younger age.",introvert,0,0.66666664,4,3,3,3,3.0,4.0
73,2020-12-06 05:59:58,Male,Single,Nothern,Saudi,n/a,"Yes, both",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,I don’t care,introvert/extrovert,2,0.99999996,4,4,4,4,4.0,4.0
74,2020-12-06 06:15:55,Female,Single,Western,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,"I’m with it because: 
- It will establish proper work/communication behaviors  between genders, which will serve the work environment in the future",introvert,0,0.0,4,3,3,3,3.0,4.0
75,2020-12-08 12:55:52,Female,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,1) helps both genders learn how to communicate with eachother respectively 2) enhances networking 3) both genders can learn from eachother,introvert,0,0.66666664,4,3,4,4,3.6666666666666665,4.0
76,2020-12-09 11:31:58,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,2: Disagree,Mixed-sex work environment,2: Uncomfortable,2: Unlikely,2: Unlikely,n/a,With mixed-sex universities,It offers more experience ,introvert,0,0.66666664,2,2,2,2,2.0,2.0
77,2020-12-10 07:30:31,Female,Single,Western,Saudi,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,The normal,introvert/extrovert,2,0.66666664,4,3,4,4,3.6666666666666665,4.0
78,2020-12-12 02:16:21,Male,Single,Center,n/a,n/a,n/a,Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Open mind, ice breaks and  better environment ",introvert/extrovert,2,0.0,4,4,4,4,4.0,4.0
79,2020-12-14 01:37:27,Male,Single,Center,Saudi,Saudi,"No, neither",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,1: Very uncomfortable,2: Unlikely,1: Highly unlikely,n/a,Against mixed-sex universities,n/a,introvert/extrovert,2,0.0,3,1,2,1,1.3333333333333333,3.0
80,2020-12-14 01:39:29,Female,Single,Center,Saudi,n/a,"No, neither",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Helps to make things normal ,introvert/extrovert,2,0.0,4,4,4,4,4.0,4.0
81,2020-12-14 01:40:01,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"1- it will promote growth and maturity for males and dealing with females 
2- it will start making both genders comfortable in dealing with each other in work and life
3- i dont think the majority of both genders are ready for it yet. ",introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
82,2020-12-14 01:42:59,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Be more open,introvert/extrovert,2,0.66666664,4,4,4,4,4.0,4.0
83,2020-12-14 01:46:08,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"just human nature to interact with each other, segregated male/female creates and underlying issue in the long run",extrovert,1,0.66666664,3,3,4,4,3.6666666666666665,3.0
84,2020-12-14 01:47:31,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,I studied in a mixed university in saudi and my experience was great but as long as their are clear boundaries between students which is no longer the case in my university.,introvert/extrovert,2,0.66666664,2,3,4,4,3.6666666666666665,2.0
85,2020-12-14 01:50:23,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,1: Strongly disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Should be done to prepare the youth for the ongoing transformation in the country ,introvert,0,0.66666664,1,4,4,4,4.0,1.0
86,2020-12-14 01:54:19,Female,Married,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Finding harmony in diversity. It should be the new normal.,introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
87,2020-12-14 01:55:28,Female,Single,Center,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,3: Agree,Single-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"It wouldn’t let students focus on their studies. As well as, it does not fit with Islam’s terms",extrovert,1,0.0,3,3,4,4,3.6666666666666665,1.0
88,2020-12-14 01:58:24,Female,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,2: Uncomfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,Human nature,introvert/extrovert,2,0.66666664,4,2,3,3,2.6666666666666665,4.0
89,2020-12-14 02:05:24,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,1: Strongly disagree,Single-sex work environment,4: Very comfortable,4: Highly likely,3: Likely,n/a,Against mixed-sex universities,"Pointless approach, and would enforce students to some undesired situations.",extrovert,1,0.66666664,1,4,4,3,3.6666666666666665,0.3333333333333333
90,2020-12-14 02:05:41,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,No specific opinions  ,introvert/extrovert,2,0.66666664,4,3,4,4,3.6666666666666665,4.0
91,2020-12-14 02:06:15,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,n/a,introvert/extrovert,2,0.66666664,4,4,4,4,4.0,4.0
92,2020-12-14 02:18:40,Male,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,2: Disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Cost-efficiency
Same level of education and exposure
Better understand the opposite gender",introvert/extrovert,2,0.0,2,4,4,4,4.0,2.0
93,2020-12-14 02:19:02,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"1- it will promote growth and maturity for males and dealing with females 
2- it will start making both genders comfortable in dealing with each other in work and life
3- i dont think the majority of both genders are ready for it yet. ",introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
94,2020-12-14 02:24:04,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,2: Disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,I grew up with a house full of girls so I’m very comfortable with the other gender,With mixed-sex universities,Big yes,extrovert,1,0.66666664,2,4,4,4,4.0,2.0
95,2020-12-14 02:26:41,Male,Single,Western,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Because everyone deserve an opportunity ,introvert,0,0.0,2,3,4,4,3.6666666666666665,2.0
96,2020-12-14 02:30:44,Male,Single,Center,Abroad,Abroad,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,3: Likely,4: Highly likely,n/a,With mixed-sex universities,Ok ,extrovert,1,0.66666664,3,4,3,4,3.6666666666666665,3.0
97,2020-12-14 02:41:07,Male,Single,Eastern,Abroad,Abroad,"Yes, both",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,3: Likely,n/a,With mixed-sex universities,New ideas and different prospective ,introvert/extrovert,2,0.99999996,4,3,4,3,3.333333333333333,4.0
98,2020-12-14 02:48:18,Female,Single,Center,Abroad,Saudi,"Yes, both",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Prepare students for work environments, easier integration into international experiences, better understanding of the opposite gender ",introvert/extrovert,2,0.99999996,4,4,4,4,4.0,4.0
99,2020-12-14 05:23:38,Male,Single,Western,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Because everyone deserve an opportunity ,introvert,0,0.0,2,3,4,4,3.6666666666666665,2.0
100,2020-12-14 05:41:25,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,I studied in a mixed university in saudi and my experience was great but as long as their are clear boundaries between students which is no longer the case in my university.,introvert/extrovert,2,0.66666664,2,3,4,4,3.6666666666666665,2.0
101,2020-12-14 07:21:38,Male,Single,Western,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Because everyone deserve an opportunity ,introvert,0,0.0,2,3,4,4,3.6666666666666665,2.0
102,2020-12-15 12:18:42,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,No specific opinions  ,introvert/extrovert,2,0.66666664,4,3,4,4,3.6666666666666665,4.0
103,2020-12-15 12:20:47,Male,Single,Center,Saudi,Saudi,"No, neither",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,1: Very uncomfortable,2: Unlikely,1: Highly unlikely,n/a,Against mixed-sex universities,n/a,introvert/extrovert,2,0.0,3,1,2,1,1.3333333333333333,3.0
104,2020-12-17 01:48:06,Female,Married,Eastern,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,4: Strongly agree,Single-sex work environment,2: Uncomfortable,2: Unlikely,2: Unlikely,n/a,Against mixed-sex universities,I am against because of social restrictions and awkwardness between genders.,extrovert,1,0.0,4,2,2,2,2.0,1.3333333333333333
105,2020-12-17 01:50:29,Female,Married,Eastern,Saudi,Saudi,"No, neither",Inner reflection and solitude,Quiet and reflective,1: Strongly disagree,Single-sex work environment,1: Very uncomfortable,1: Highly unlikely,1: Highly unlikely,n/a,Against mixed-sex universities,"Against it.
- Might cause sexual problems.
- Disperse attention.
- Religious issue.",introvert,0,0.0,1,1,1,1,1.0,0.3333333333333333
106,2020-12-18 04:14:52,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"just human nature to interact with each other, segregated male/female creates and underlying issue in the long run",extrovert,1,0.66666664,3,3,4,4,3.6666666666666665,3.0
107,2020-12-20 04:14:56,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Single-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"From my experience being in a mixed- sex university, I believe the disadvantages outweigh the advantages in many aspects of the learning process and environment.",extrovert,1,0.66666664,3,4,4,4,4.0,1.0
108,2020-12-21 11:06:58,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,It helps break the barrier that many end up facing in the workplace or if they travel. Mixing in a professional and decent manner shouldn’t be an issue.,extrovert,1,0.66666664,3,3,4,4,3.6666666666666665,3.0
